,minute,h_a,situation,shotType,lastAction,distanceToGoal,angleToGoal
19661,44,2,3,4,3,26.1503744159685,15.6274577831602
19662,44,2,2,4,24,8.37177135871604,43.5022822159217
19663,45,2,3,4,27,16.0332288613825,25.4682925801624
19664,48,2,3,4,38,16.3901249946378,16.1236559679213
19665,48,2,3,4,29,6.50386481218577,41.2669363780369
19666,53,2,2,1,11,7.68001784650463,50.9064686196008
19667,53,2,2,2,29,13.0503090559808,23.0809272691123
19668,53,2,3,4,27,18.8339941906565,17.3802854856527
19669,54,2,3,4,27,24.0395404575636,16.88963172152
19670,55,2,2,1,11,9.02285323688879,28.4759202865605
19671,61,2,3,4,27,13.9278740682875,20.1036387412461
19672,67,2,3,2,27,18.170779764774,22.5332360345458
18089,20,2,2,2,27,18.4985824500475,18.9639409700013
18090,20,2,2,4,27,26.1148682733156,15.9126608987819
18091,26,2,3,4,27,14.6358994598338,22.2707765127156
18092,26,2,3,4,29,6.82500117185702,56.4060785195012
18093,35,2,3,4,24,5.00135372256132,72.1716286147026
18094,36,2,5,2,27,18.1441600184056,17.1753486484996
18095,38,2,3,4,27,27.2688943064989,14.6866243930353
18096,48,2,3,4,11,6.96838715627414,13.519629542939
18097,49,2,2,4,27,26.6957492950851,15.481978039243
18098,63,2,3,4,27,37.8611103678482,10.3670359770364
18099,68,2,3,1,11,8.85140000929708,29.0814987327206
18100,70,2,3,2,8,17.8489336471911,17.9978856589128
23022,27,1,2,4,29,4.94270873706873,73.0137799552392
23023,33,1,3,4,37,14.1170836746041,28.9878153526597
23024,33,1,2,3,1,5.82608346981076,49.2260690355299
23025,48,1,3,4,27,31.4040155253738,12.689759936619
23026,52,1,3,4,27,21.4399248489802,17.4036402177767
23027,55,1,3,4,27,9.91857348614204,32.3376982635514
23028,55,1,2,4,8,30.157314732484,13.8297110828434
23029,78,1,5,4,27,29.6198761077023,13.8916837419842
23030,80,1,3,4,27,19.9068508141378,20.7764892271442
23031,81,1,3,2,8,8.92231766343211,42.1588049161648
23032,84,1,3,4,27,20.6817386006952,14.558145323763
23033,85,1,3,2,27,17.0760062950378,24.1121512710755
18977,58,2,3,2,27,21.3821667796952,15.0261062186971
18978,63,2,2,1,1,9.89491077354003,38.6705116364131
18979,70,2,3,4,27,29.5666262954756,14.0850434721139
18980,78,2,3,4,27,21.0303259713197,15.0463847834306
18981,85,2,3,2,27,16.5324513461501,24.7634333107236
18982,89,2,3,4,27,28.9865445297853,14.3896775059561
19404,1,1,3,4,38,13.527926855114,19.9269729612632
19405,7,1,5,4,19,6.86613919124159,55.1248916431379
19406,20,1,3,4,11,10.5586368835573,37.2371942236355
19407,25,1,4,2,33,12.1678110192425,33.2803475559272
