,status
72736,0
72737,0
72738,1
72739,0
72740,0
72741,0
72742,0
72743,0
72744,0
72745,0
72746,1
72747,0
72748,0
72749,0
72750,0
72751,0
72752,0
72753,0
72754,0
72755,1
72756,1
72757,0
72758,0
72759,0
72760,0
72761,0
72762,0
72763,0
72764,1
72765,1
72766,0
72767,0
72768,0
72769,0
72770,0
72771,0
72772,0
72773,0
72774,0
72775,0
72776,0
72777,1
72778,0
72779,0
72780,0
72781,0
72782,1
72783,0
72784,0
72785,0
72786,0
72787,0
72788,0
72789,0
72790,0
72791,0
72792,0
72793,0
72794,0
72795,0
72796,0
72797,0
72798,0
72799,0
72800,0
72801,0
72802,0
72803,0
72804,0
72805,0
72806,0
72807,0
72808,0
72809,0
72810,0
72811,0
72812,0
72813,0
72814,0
72815,0
72816,0
72817,0
72818,0
72819,1
72820,0
72821,0
72822,0
72823,0
72824,0
72825,0
72826,0
72827,0
72828,0
72829,0
72830,0
72831,0
72832,0
72833,0
72834,0
72835,0
72836,0
72837,0
72838,0
72839,1
72840,0
72841,0
72842,0
72843,0
72844,0
72845,1
72846,0
72847,1
72848,0
72849,0
72850,0
72851,0
72852,0
72853,0
72854,0
72855,0
72856,0
72857,0
72858,0
72859,0
72860,0
72861,0
72862,0
72863,1
72864,0
72865,0
72866,0
72867,0
72868,0
72869,0
72870,0
72871,0
72872,0
72873,0
72874,0
72875,0
72876,0
72877,0
72878,0
72879,0
72880,0
72881,0
72882,1
72883,0
72884,0
72885,0
72886,0
72887,0
72888,0
72889,0
72890,0
72891,1
72892,0
72893,0
72894,1
72895,0
72896,0
72897,0
72898,0
72899,0
72900,0
72901,0
72902,0
72903,1
72904,0
72905,0
72906,0
72907,0
72908,0
72909,0
72910,0
72911,0
72912,0
72913,0
72914,0
72915,0
72916,0
72917,0
72918,0
72919,1
72920,0
72921,0
72922,0
72923,0
72924,0
72925,0
72926,0
72927,0
72928,0
72929,1
72930,0
72931,0
72932,0
72933,0
72934,0
72935,0
72936,0
72937,0
72938,0
72939,0
72940,0
72941,0
72942,0
72943,0
72944,0
72945,0
72946,0
72947,0
72948,0
72949,0
72950,0
72951,0
72952,0
72953,0
72954,0
72955,0
72956,0
72957,0
72958,0
72959,0
72960,0
72961,0
72962,0
72963,0
72964,0
72965,0
72966,0
72967,0
72968,1
72969,0
72970,0
72971,0
72972,0
72973,0
72974,0
72975,0
72976,0
72977,0
72978,0
72979,0
72980,0
72981,1
72982,0
72983,0
72984,0
72985,0
72986,0
72987,0
72988,0
72989,0
72990,0
72991,0
72992,0
72993,1
72994,0
72995,1
72996,0
72997,0
72998,0
72999,0
73000,1
73001,0
73002,0
73003,0
73004,0
73005,0
73006,0
73007,0
73008,0
73009,1
73010,0
73011,0
73012,0
73013,0
73014,0
73015,0
73016,0
73017,1
73018,0
73019,0
73020,0
73021,1
73022,0
73023,0
73024,0
73025,0
73026,0
73027,0
73028,0
73029,1
73030,0
73031,0
73032,0
73033,0
73034,0
73035,0
73036,1
73037,0
73038,1
73039,0
73040,0
73041,0
73042,0
73043,0
73044,0
73045,0
73046,0
73047,0
73048,1
73049,0
73050,1
73051,0
73052,0
73053,0
73054,0
73055,1
73056,0
73057,0
73058,0
73059,0
73060,0
73061,0
73062,1
73063,0
73064,0
73065,0
73066,0
73067,0
73068,1
73069,0
73070,0
73071,1
73072,0
73073,0
73074,0
73075,0
73076,0
73077,0
73078,0
73079,0
73080,0
73081,0
73082,1
73083,0
73084,0
73085,0
73086,0
73087,0
73088,0
73089,0
73090,0
73091,1
73092,0
73093,0
73094,0
73095,0
73096,0
73097,0
73098,0
73099,1
73100,0
73101,0
73102,0
73103,0
73104,1
73105,0
73106,0
73107,1
73108,0
73109,0
73110,0
73111,0
73112,0
73113,1
73114,0
73115,0
73116,0
73117,0
73118,0
73119,0
73120,1
