,status
219931,0
219932,0
219933,0
219934,0
219935,0
219936,0
219937,0
219938,0
219939,1
219940,0
219941,0
219942,1
219943,0
219944,0
219945,0
219946,0
219947,0
219948,0
219949,0
219950,0
219951,0
219952,0
219953,0
219954,0
219955,0
219956,1
219957,0
219958,0
219959,0
219960,0
219961,0
219962,0
219963,0
219964,0
219965,0
219966,0
219967,0
219968,0
219969,0
219970,0
219971,0
219972,0
219973,0
219974,1
219975,0
219976,1
219977,0
219978,0
219979,0
219980,0
219981,0
219982,0
219983,0
219984,0
219985,0
219986,0
219987,0
219988,0
219989,0
219990,1
219991,0
219992,0
219993,0
219994,1
219995,0
219996,0
219997,0
219998,1
219999,0
220000,0
220001,0
220002,0
220003,0
220004,0
220005,0
220006,0
220007,0
220008,0
220009,0
220010,0
220011,0
220012,0
220013,0
220014,0
220015,0
220016,0
220017,0
220018,0
220019,0
220020,0
220021,0
220022,1
220023,0
220024,0
220025,0
220026,0
220027,0
220028,0
220029,0
220030,0
220031,0
220032,0
220033,1
220034,0
220035,0
220036,0
220037,0
220038,1
220039,0
220040,0
220041,1
220042,1
220043,0
220044,0
220045,0
220046,0
220047,0
220048,0
220049,0
220050,1
220051,0
220052,0
220053,0
220054,0
220055,0
220056,0
220057,0
220058,0
220059,0
220060,0
220061,0
220062,0
220063,1
220064,0
220065,0
220066,0
220067,0
220068,1
220069,0
220070,0
220071,0
220072,0
220073,0
220074,0
220075,0
220076,0
220077,0
220078,0
220079,1
220080,1
220081,0
220082,0
220083,0
220084,0
220085,0
220086,0
220087,1
220088,0
220089,0
220090,0
220091,0
220092,0
220093,0
220094,0
220095,0
220096,0
220097,0
220098,0
220099,0
220100,1
220101,0
220102,0
220103,0
220104,0
220105,0
220106,0
220107,0
220108,0
220109,0
220110,0
220111,0
220112,1
220113,0
220114,0
220115,1
220116,0
220117,0
220118,0
220119,0
220120,1
220121,0
220122,0
220123,1
220124,0
220125,0
220126,0
220127,0
220128,0
220129,0
220130,0
220131,0
220132,0
220133,0
220134,0
220135,1
220136,0
220137,0
220138,0
220139,0
220140,0
220141,0
220142,0
220143,0
220144,0
220145,0
220146,0
220147,0
220148,0
220149,0
220150,0
220151,0
220152,0
220153,0
220154,0
220155,0
220156,0
220157,0
220158,0
220159,0
220160,0
220161,0
220162,0
220163,0
220164,0
220165,0
220166,0
220167,0
220168,0
220169,0
220170,0
220171,0
220172,0
220173,0
220174,0
220175,0
220176,0
220177,0
220178,0
220179,1
220180,0
220181,0
220182,0
220183,0
220184,0
220185,0
220186,0
220187,1
220188,0
220189,0
220190,0
220191,0
220192,0
220193,0
220194,1
220195,0
220196,0
220197,0
220198,0
220199,0
220200,0
220201,0
220202,1
220203,0
220204,1
220205,0
220206,0
220207,0
220208,0
220209,0
220210,0
220211,0
220212,0
220213,0
220214,0
220215,0
220216,0
220217,0
220218,0
220219,0
220220,0
220221,0
220222,0
220223,0
220224,0
220225,0
220226,0
220227,0
220228,0
220229,0
220230,0
220231,0
220232,0
220233,0
220234,0
220235,0
220236,0
220237,0
220238,0
220239,0
220240,0
220241,0
220242,0
220243,0
220244,0
220245,0
220246,0
220247,0
220248,0
220249,1
220250,0
220251,1
220252,0
220253,0
220254,0
220255,0
220256,0
220257,0
220258,0
220259,0
220260,0
220261,0
220262,1
220263,0
220264,0
220265,0
220266,0
220267,0
220268,0
220269,0
220270,0
220271,0
220272,0
220273,0
